key,en,de,es,fr,it,ja,ko,pt,ru,tr,zh
ALLSEEINGEYE,ALL_SEEING_EYE,,,,,,,,,,
ANCESTRALMEMORIES,ANCESTRAL_MEMORIES,,,,,,,,,,
ANNUNAKISUNDIAL,ANNUNAKI_SUNDIAL,,,,,,,,,,
BLACKCUBE,BLACK_CUBE,,,,,,,,,,
BUTTERFLYEFFECT,BUTTERFLY_EFFECT,,,,,,,,,,
CRYSTALSKULLS,CRYSTAL_SKULLS,,,,,,,,,,
FISHRAIN,FISH_RAIN,,,,,,,,,,
FLUGELRADS,FLUGELRADS,,,,,,,,,,
GNOSIS,GNOSIS,,,,,,,,,,
HEMISYNC_RECOVERY,HEMISYNC RECOVERY,,,,,,,,,,
KUNDALINI,KUNDALINI,,,,,,,,,,
MACHINEELVELS,MACHINE_ELVELS,,,,,,,,,,
MANIWHEEL,MANI_WHEEL,,,,,,,,,,
MENTALCONSTRUCT,MENTAL_CONSTRUCT,,,,,,,,,,
PHILOSOPHERSSTONE,PHILOSOPHERS_STONE,,,,,,,,,,
POLARSHIFT,POLAR_SHIFT,,,,,,,,,,
PSYOP,PSYOP,,,,,,,,,,
PYRAMID_CARDS,PYRAMID CARDS,,,,,,,,,,
REROLLS,REROLLS,,,,,,,,,,
SACREDGEOMETRY,SACRED_GEOMETRY,,,,,,,,,,
SACRIFICE,SACRIFICE,,,,,,,,,,
TUNINGFORK,TUNING_FORK,,,,,,,,,,
UFO,UFO,,,,,,,,,,
